0.153809|622
0.483398|628
1.17004|624
1.49963|620
2.18628|618
2.57629|610
2.91687|606
3.24646|606
3.54309|616
3.87268|628
4.21875|630
4.55933|626
4.88892|622
5.22949|622
5.57556|622
5.90515|620
6.24573|620
6.5918|620
6.93237|622
7.26196|622
7.60803|622
7.94861|624
8.2782|622
8.62427|624
8.96484|624
9.29443|624
9.6405|626
9.98108|626
10.3271|626
10.6512|626
10.9973|626
11.3434|626
11.6675|628
12.0135|628
12.3541|628
12.6837|628
13.0298|630
13.3704|630
13.7|630
13.9966|632
14.3262|634
14.6667|634
15.0128|634
15.3424|636
15.683|636
16.0291|636
16.3586|638
16.6992|640
17.0453|640
17.3859|642
17.7155|642
18.0615|642
18.4021|644
18.7317|646
19.0778|646
19.3579|648
19.6985|648
21.0443|499
21.3904|499
21.731|498
22.0605|498
22.4011|499
22.7472|500
23.0273|502
23.3569|505
24.3732|511
24.7137|674
25.0598|678
25.4059|682
25.686|690
29.4983|336
29.7949|337
30.1245|339
30.4651|340
30.7452|342
31.0913|342
31.4209|343
31.7615|344
32.1075|344
32.4371|346
32.7173|350
34.7168|736
35.0464|738
35.387|742
35.733|744
36.6833|746
37.3096|656
37.6392|650
38.0457|644
38.3698|638
38.7158|634
39.1058|626
39.4519|622
39.776|616
40.1825|610
40.5121|604
40.9186|598
41.2482|594
41.5887|590
41.9843|584
42.3248|580
42.6709|576
43.0609|570
43.3905|566
43.7311|560
44.1211|558
44.4672|554
44.8077|550
45.1978|546
45.5438|542
45.8734|538
46.2799|534
46.604|530
46.9501|526
47.3401|522
47.6862|514
48.0762|508
48.4662|501
48.8123|494
49.1528|494
49.7626|512
50.1086|510
50.4492|506
50.8392|500
51.1853|493
51.5753|487
51.9214|483
52.3114|479
52.6355|476
52.9816|474
53.3716|472
53.7177|470
54.0582|467
54.3878|464
54.7943|462
55.1239|459
55.4645|457
55.8545|455
56.2006|453
56.5466|451
56.8707|449
57.2772|446
57.6068|444
57.9529|442
58.2935|440
58.6835|437
59.0131|436
59.3591|434
59.6997|433
60.0897|431
60.4358|429
60.7654|427
61.106|425
61.496|423
61.842|422
62.1826|420
62.5122|418
62.8583|417
63.2483|416
63.5889|414
63.9349|413
64.2645|411
64.6051|410
64.9951|408
65.3412|407
65.6708|405
66.0114|404
66.4014|403
66.7474|402
67.0935|400
67.4176|399
67.7637|398
68.1537|396
68.4998|395
68.8403|394
69.1699|393
69.5105|393
69.8566|396
70.1367|399
70.7465|406
72.4493|582
72.7954|576
73.136|574
73.4656|572
73.8116|572
74.2017|570
74.5422|566
74.8718|564
75.2179|560
75.6079|558
75.9485|558
76.2946|554
76.6241|552
76.9647|550
77.3108|552
77.6404|554
77.981|556
78.327|552
78.6511|554
78.9368|560
79.3433|558
79.6674|556
80.0134|556
80.354|556
80.6836|556
81.0297|556
81.3702|556
81.6998|554
82.0459|554
82.3865|554
82.7161|554
83.0621|554
83.4027|554
83.7323|554
84.0729|554
84.4189|554
84.7485|556
85.0891|558
85.3748|560
86.0614|568
87.2479|1078
87.5775|1076
87.9181|1076
88.2477|1076
88.5938|1076
88.9343|1076
89.2639|1074
89.6045|1074
89.9341|1076
90.2802|1074
90.6207|1074
90.9503|1074
91.2964|1072
91.6205|1072
91.9666|1072
92.3071|1072
92.6367|1072
92.9828|1074
93.3124|1072
93.653|1072
93.999|1074
94.3231|1074
94.6692|1072
94.9988|1074
95.3394|1074
95.6854|1076
96.015|1076
96.3556|1076
96.6852|1076
97.0312|1076
97.3718|1076
97.7014|1078
98.042|1080
98.3716|1078
98.7177|1080
99.0582|1080
99.3878|1080
99.7339|1082
100.058|1082
100.404|1082
100.745|1084
101.074|1084
101.42|1086
102.09|1088
102.761|848
103.156|836
103.497|824
103.843|822
104.167|824
104.513|826
105.529|828
106.979|496
107.309|495
107.655|495
107.996|493
108.325|493
108.671|495
108.995|495
109.341|496
109.688|497
110.638|504
112.89|526
113.231|528
113.56|532
113.906|534
114.186|538
114.51|540
114.857|542
115.203|544
115.483|548
115.812|552
116.153|556
116.433|560
117.449|564
126.057|1514
126.387|1520
126.733|1526
127.073|1530
127.403|1532
127.683|1538
128.029|1540
128.359|1544
128.699|1550
129.045|1554
129.375|1560
129.716|1568
130.045|1578
130.386|1578
131.061|1578
131.792|2412
132.138|2392
132.468|2372
132.808|2360
133.138|2344
133.484|2328
133.824|2312
134.154|2300
134.495|2280
134.824|2264
135.17|2252
135.511|2236
135.901|2224
136.23|2212
136.577|2196
136.917|2184
